기관,발행일,제목,원문,링크,수집일
WhiteHouse,2026-01-22,AI로 세계를 선도하다,Lead the World in AI,https://www.whitehouse.gov/priorities/tech-innovation/,2026-01-30
WhiteHouse,2026-01-21,인공지능과 그레이트 다이버전스,Artificial Intelligence and the Great Divergence,https://www.whitehouse.gov/research/2026/01/artificial-intelligence-and-the-great-divergence/,2026-01-30
WhiteHouse,2026-01-16,"영부인 멜라니아 트럼프, 미국 아이들에게 호기심을 불러일으키고 AI를 사용하여 직업적 야망 달성","First Lady Melania Trump Inspires America’s Children to be Curious, Use AI to Achieve their Career Ambitions",https://www.whitehouse.gov/briefings-statements/2026/01/first-lady-melania-trump-inspires-americas-children-to-be-curious-use-ai-to-achieve-their-career-ambitions/,2026-01-30
WhiteHouse,2026-01-12,Trump 행정부의 과학 및 기술 하이라이트: 1년차,Trump Administration Science & Technology Highlights: Year One,https://www.whitehouse.gov/wp-content/uploads/2026/01/WHOSTP-2025-Wins.pdf,2026-01-30
WhiteHouse,2026-01-06,경제자문위원회 인공지능과 그레이트 다이버전스,The Council of Economic Advisers Artificial Intelligence and the Great Divergence,https://www.whitehouse.gov/wp-content/uploads/2026/01/Artificial-Intelligence-and-the-Great-Divergence-5.pdf,2026-01-30
WhiteHouse,2025-12-11,편견 없는 AI 원칙을 통해 인공 지능에 대한 대중의 신뢰 증대,Increasing Public Trust in Artificial Intelligence Through Unbiased AI Principles,https://www.whitehouse.gov/wp-content/uploads/2025/12/M-26-04-Increasing-Public-Trust-in-Artificial-Intelligence-Through-Unbiased-AI-Principles-1.pdf,2026-01-30
WhiteHouse,2025-12-11,"백악관, 교육자 및 학부모와 함께 세 번째 AI 교육 태스크포스 회의 개최",The White House Hosts Third AI Education Task Force Meeting with Educators and Parents,https://www.whitehouse.gov/articles/2025/12/31600/,2026-01-30
WhiteHouse,2025-12-11,인공 지능을 위한 국가 정책 프레임워크 보장,ENSURING A NATIONAL POLICY FRAMEWORK FOR ARTIFICIAL INTELLIGENCE,https://www.whitehouse.gov/presidential-actions/2025/12/eliminating-state-law-obstruction-of-national-artificial-intelligence-policy/,2026-01-30
WhiteHouse,2025-11-24,"트럼프 대통령, 과학적 발견을 위한 AI 가속화를 위한 제네시스 임무 착수",President Trump Launches the Genesis Mission to Accelerate AI for Scientific Discovery,https://www.whitehouse.gov/articles/2025/11/president-trump-launches-the-genesis-mission-to-accelerate-ai-for-scientific-discovery/,2026-01-30
WhiteHouse,2025-09-30,"팩트 시트: 도널드 J. 트럼프 대통령, 소아암 치료법 개발을 위해 미국의 AI 혁신 활용을 우선시",Fact Sheet: President Donald J. Trump Prioritizes Harnessing American AI Innovation to Unlock Cures for Pediatric Cancer,https://www.whitehouse.gov/fact-sheets/2025/09/fact-sheet-president-donald-j-trump-prioritizes-harnessing-american-ai-innovation-to-unlock-cures-for-pediatric-cancer/,2026-01-30
