발행일,Category,Keywords,Title,Link
2025-12-23,"17. Mobile Wireless, 42. Manufacturing","Spectrum, MES",Increasing Medical Marijuana and Cannabidiol Research,https://www.federalregister.gov/documents/2025/12/23/2025-23846/increasing-medical-marijuana-and-cannabidiol-research
2025-12-23,"17. Mobile Wireless, 37. Energy/Utility, 42. Manufacturing","Nuclear, Spectrum, MES",Ensuring American Space Superiority,https://www.federalregister.gov/documents/2025/12/23/2025-23845/ensuring-american-space-superiority
2025-12-18,"17. Mobile Wireless, 42. Manufacturing","Spectrum, MES",Designating Fentanyl as a Weapon of Mass Destruction,https://www.federalregister.gov/documents/2025/12/18/2025-23417/designating-fentanyl-as-a-weapon-of-mass-destruction
2025-12-16,"4. AI, 30. Content Platform, 42. Manufacturing","Algorithm, MES, Artificial Intelligence",Ensuring a National Policy Framework for Artificial Intelligence,https://www.federalregister.gov/documents/2025/12/16/2025-23092/ensuring-a-national-policy-framework-for-artificial-intelligence
2025-12-16,"16. Mobile Device, 21. Regulation","SoC, Antitrust",Protecting American Investors From Foreign-Owned and Politically-Motivated Proxy Advisors,https://www.federalregister.gov/documents/2025/12/16/2025-23093/protecting-american-investors-from-foreign-owned-and-politically-motivated-proxy-advisors
2025-12-10,16. Mobile Device,SoC,Addressing Security Risks From Price Fixing and Anti-Competitive Behavior in the Food Supply Chain,https://www.federalregister.gov/documents/2025/12/10/2025-22537/addressing-security-risks-from-price-fixing-and-anti-competitive-behavior-in-the-food-supply-chain
2025-11-28,"4. AI, 6. Blockchain, 15. Hardware, 16. Mobile Device, 37. Energy/Utility, 42. Manufacturing","RWA, Semiconductor, MES, Artificial Intelligence, Nuclear, SoC",Launching the Genesis Mission,https://www.federalregister.gov/documents/2025/11/28/2025-21665/launching-the-genesis-mission
2025-11-25,42. Manufacturing,MES,Modifying the Scope of the Reciprocal Tariffs With Respect to Certain Agricultural Products,https://www.federalregister.gov/documents/2025/11/25/2025-21203/modifying-the-scope-of-the-reciprocal-tariffs-with-respect-to-certain-agricultural-products
2025-11-19,"4. AI, 42. Manufacturing","MES, Artificial Intelligence",Fostering the Future for American Children and Families,https://www.federalregister.gov/documents/2025/11/19/2025-20406/fostering-the-future-for-american-children-and-families
2025-11-07,"15. Hardware, 38. Metals, 42. Manufacturing","Semiconductor, Rare earth, MES",Modifying Reciprocal Tariff Rates Consistent With the Economic and Trade Arrangement Between the United States and the People's Republic of China,https://www.federalregister.gov/documents/2025/11/07/2025-19826/modifying-reciprocal-tariff-rates-consistent-with-the-economic-and-trade-arrangement-between-the
2025-10-20,"6. Blockchain, 16. Mobile Device, 42. Manufacturing","RWA, SoC, MES",Ensuring Continued Accountability in Federal Hiring,https://www.federalregister.gov/documents/2025/10/20/2025-19614/ensuring-continued-accountability-in-federal-hiring
2025-10-07,"4. AI, 21. Regulation, 42. Manufacturing, 44. Pharmacy","AI Act, Clinical trial, MES, Artificial Intelligence",Unlocking Cures for Pediatric Cancer With Artificial Intelligence,https://www.federalregister.gov/documents/2025/10/07/2025-19495/unlocking-cures-for-pediatric-cancer-with-artificial-intelligence
2025-09-30,"16. Mobile Device, 30. Content Platform","Algorithm, SoC",Saving TikTok While Protecting National Security,https://www.federalregister.gov/documents/2025/09/30/2025-19139/saving-tiktok-while-protecting-national-security
2025-09-23,16. Mobile Device,SoC,Establishing an Emergency Board To Investigate Disputes Between the Long Island Rail Road Company and Certain of Its Employees Represented by Certain Labor Organizations,https://www.federalregister.gov/documents/2025/09/23/2025-18479/establishing-an-emergency-board-to-investigate-disputes-between-the-long-island-rail-road-company
2025-09-10,"6. Blockchain, 16. Mobile Device","RWA, SoC",Strengthening Efforts To Protect U.S. Nationals From Wrongful Detention Abroad,https://www.federalregister.gov/documents/2025/09/10/2025-17509/strengthening-efforts-to-protect-us-nationals-from-wrongful-detention-abroad
2025-09-10,42. Manufacturing,MES,Modifying the Scope of Reciprocal Tariffs and Establishing Procedures for Implementing Trade and Security Agreements,https://www.federalregister.gov/documents/2025/09/10/2025-17507/modifying-the-scope-of-reciprocal-tariffs-and-establishing-procedures-for-implementing-trade-and
2025-09-09,42. Manufacturing,MES,Implementing the United States-Japan Agreement,https://www.federalregister.gov/documents/2025/09/09/2025-17389/implementing-the-united-states-japan-agreement
2025-09-03,"16. Mobile Device, 42. Manufacturing","SoC, MES",Making Federal Architecture Beautiful Again,https://www.federalregister.gov/documents/2025/09/03/2025-16928/making-federal-architecture-beautiful-again
2025-08-28,42. Manufacturing,MES,Measures To End Cashless Bail and Enforce the Law in the District of Columbia,https://www.federalregister.gov/documents/2025/08/28/2025-16615/measures-to-end-cashless-bail-and-enforce-the-law-in-the-district-of-columbia
2025-08-28,42. Manufacturing,MES,Prosecuting Burning of the American Flag,https://www.federalregister.gov/documents/2025/08/28/2025-16616/prosecuting-burning-of-the-american-flag
2025-08-28,42. Manufacturing,MES,Additional Measures To Address the Crime Emergency in the District of Columbia,https://www.federalregister.gov/documents/2025/08/28/2025-16614/additional-measures-to-address-the-crime-emergency-in-the-district-of-columbia
2025-08-28,"16. Mobile Device, 42. Manufacturing","SoC, MES",Taking Steps To End Cashless Bail To Protect Americans,https://www.federalregister.gov/documents/2025/08/28/2025-16618/taking-steps-to-end-cashless-bail-to-protect-americans
2025-08-19,"6. Blockchain, 16. Mobile Device","RWA, SoC",Enabling Competition in the Commercial Space Industry,https://www.federalregister.gov/documents/2025/08/19/2025-15822/enabling-competition-in-the-commercial-space-industry
